id,created_at,userName,email,phoneNumber,address,currency,language,firstName,lastName,avatar,dateOfBirth,country,city,suffix
47cd5ced-cb09-443e-865c-32eaf833ee57,2025-04-06T14:30:00.123456+00,avawhite,ava.white@example.com,61412345678,,,,,,,,,,36
df3b381c-3103-4ce8-8a1a-6bc24b6d9907,2025-04-07T11:55:00.123456+00,khalidyoussef,khalid.youssef@shop.com,201901234567,,,,,,,,,,37
64ce79a3-3dd9-4735-975a-4be230b03dda,2025-04-07T17:10:00.123456+00,miamartin,mia.martin@example.com,12065550127,,,,,,,,,,38
4c3d3e66-0510-4696-ac9c-b82f4de11ca9,2025-04-08T08:45:00.123456+00,layanahmed,layan.ahmed@shop.com,971512345678,,,,,,,,,,39
82eb95f6-8871-41e7-84db-c196b836a141,2025-04-08T12:20:00.123456+00,williamdavis,william.davis@example.com,447945678901,,,,,,,,,,40
45b20813-182b-4a99-a088-5e4a00d9e848,2025-04-09T10:05:00.123456+00,salmamahmoud,salma.mahmoud@shop.com,202012345678,,,,,,,,,,41
f6938627-9680-4233-abfe-42271bd02f9d,2025-04-09T15:50:00.123456+00,isabellajackson,isabella.jackson@example.com,12075550128,,,,,,,,,,42
15f1a414-5549-4213-9898-c9e7eeed92fc,2025-04-10T09:25:00.123456+00,adamnasser,adam.nasser@shop.com,202123456789,,,,,,,,,,43
a8090b3e-b393-4b35-9e6f-b413f0b70948,2025-04-10T14:00:00.123456+00,emmathomas,emma.thomas@example.com,447956789012,,,,,,,,,,44
b081e54d-8d6c-4460-8620-ec0365cbccc4,2025-04-11T11:30:00.123456+00,yarasaid,yara.said@shop.com,202234567890,,,,,,,,,,45
e3ca44be-ca65-4dfa-b310-b747a738d347,2025-04-11T16:15:00.123456+00,ethanmiller,ethan.miller@example.com,12085550129,,,,,,,,,,46
77099373-b666-4171-aae9-37eed4d412ee,2025-04-12T08:40:00.123456+00,zeinabrashid,zeinab.rashid@shop.com,971523456789,,,,,,,,,,18
5d9534b8-546a-465d-af04-51be9b646fb8,2025-04-12T13:55:00.123456+00,harperevans,harper.evans@example.com,61423456789,,,,,,,,,,17
b337d46a-45c4-433c-b2c3-173aac3e9254,2025-04-13T10:20:00.123456+00,tarekfarouk,tarek.farouk@shop.com,202345678901,,,,,,,,,,16
08b130e8-b542-4a58-945d-b79e88b4b581,2025-04-13T15:35:00.123456+00,lucasroberts,lucas.roberts@example.com,12095550130,,,,,,,,,,15
1b76a269-90d4-44e3-845e-df836bc85634,2025-04-14T09:00:00.123456+00,malakessam,malak.essam@shop.com,202456789012,,,,,,,,,,14
941faf95-3eb4-470a-8565-ef7603b4d219,2025-04-14T12:45:00.123456+00,charlottelee,charlotte.lee@example.com,12105550131,,,,,,,,,,13
70f72c85-cc1c-4af3-8c08-facdd7498a5d,2025-04-14T16:10:00.123456+00,ramisaeed,rami.saeed@shop.com,971534567890,,,,,,,,,,12
e1a8f54b-ed53-47b9-a4e5-0e4299f835c9,2025-04-14T18:25:00.123456+00,ameliagreen,amelia.green@example.com,447967890123,,,,,,,,,,11
